tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_ucode
Srg,WGO_JG,401,P,16/09/2021,WS00455
Srg,WGO_JG,401,D,16/09/2021,WS00456
Srg,WGO_JG,402,C,16/09/2021,WS00457
Srg,WGO_JG,402,P,16/09/2021,WS00458
Srg,WGO_JG,402,D,16/09/2021,WS00459
Srg,WGO_JG,403,P,16/09/2021,WS00460
Srg,WGO_JG,403,D,16/09/2021,WS00461
Srg,WGO_JG,403,C,16/09/2021,WS00462
Srg,WGO_JG,404,P,16/09/2021,WS00463
Srg,WGO_JG,404,D,16/09/2021,WS00464
Srg,WGO_JG,404,C,16/09/2021,WS00465
Srg,WGO_JG,405,C,16/09/2021,WS00466
Srg,WGO_JG,405,P,16/09/2021,WS00467
Srg,WGO_JG,405,D,16/09/2021,WS00468
Srg,WGO_JG,406,P,16/09/2021,WS00469
Srg,WGO_JG,406,D,16/09/2021,WS00470
Srg,WGO_JG,406,C,16/09/2021,WS00471
Srg,WGO_JG,101,C,9/29/2021,WS00472
Srg,WGO_JG,101,D,9/29/2021,WS00473
Srg,WGO_JG,101,P,9/29/2021,WS00474
Srg,WGO_JG,102,C,9/29/2021,WS00475
Srg,WGO_JG,102,D,9/29/2021,WS00476
Srg,WGO_JG,102,P,9/29/2021,WS00477
Srg,WGO_JG,103,C,9/29/2021,WS00478
Srg,WGO_JG,103,D,9/29/2021,WS00479
Srg,WGO_JG,103,P,9/29/2021,WS00480
Srg,WGO_JG,104,C,9/29/2021,WS00481
Srg,WGO_JG,104,D,9/29/2021,WS00482
Srg,WGO_JG,104,P,9/29/2021,WS00483
Srg,WGO_JG,105,C,9/29/2021,WS00484
Srg,WGO_JG,105,D,9/29/2021,WS00485
Srg,WGO_JG,105,P,9/29/2021,WS00486
Srg,WGO_JG,106,C,9/29/2021,WS00487
Srg,WGO_JG,106,D,9/29/2021,WS00488
Srg,WGO_JG,106,P,9/29/2021,WS00489
Srg,WGO_JG,201,C,9/29/2021,WS00490
Srg,WGO_JG,201,D,9/29/2021,WS00491
Srg,WGO_JG,201,P,9/29/2021,WS00492
Srg,WGO_JG,202,C,9/29/2021,WS00493
Srg,WGO_JG,202,D,9/29/2021,WS00494
Srg,WGO_JG,202,P,9/29/2021,WS00495
Srg,WGO_JG,203,C,9/29/2021,WS00496
Srg,WGO_JG,203,D,9/29/2021,WS00497
Srg,WGO_JG,203,P,9/29/2021,WS00498
Srg,WGO_JG,204,C,9/29/2021,WS00499
Srg,WGO_JG,204,D,9/29/2021,WS00500
Srg,WGO_JG,204,P,9/29/2021,WS00501
Srg,WGO_JG,205,C,9/29/2021,WS00502
Srg,WGO_JG,205,D,9/29/2021,WS00503
Srg,WGO_JG,205,P,9/29/2021,WS00504
Srg,WGO_JG,206,C,9/29/2021,WS00505
Srg,WGO_JG,206,D,9/29/2021,WS00506
Srg,WGO_JG,206,P,9/29/2021,WS00507
Srg,WGO_JG,301,C,9/29/2021,WS00508
